Time,Susceptible,Infected
16.400000,237295705.212208,2704294.787792
16.440000,237263492.470372,2736507.529628
16.480000,237230901.253958,2769098.746042
16.520000,237197927.241567,2802072.758434
16.560000,237164566.065458,2835433.934542
16.600000,237130813.311131,2869186.688869
16.640000,237096664.516895,2903335.483106
16.680000,237062115.173440,2937884.826560
16.720000,237027160.723411,2972839.276589
16.760000,236991796.560970,3008203.439030
16.800000,236956018.031364,3043981.968636
16.840000,236919820.430490,3080179.569510
16.880000,236883199.004456,3116800.995545
16.920000,236846148.949138,3153851.050862
16.960000,236808665.409746,3191334.590254
17.000000,236770743.480373,3229256.519627
17.040000,236732378.203556,3267621.796444
17.080000,236693564.569826,3306435.430174
17.120000,236654297.517264,3345702.482737
17.160000,236614571.931046,3385428.068954
17.200000,236574382.643001,3425617.356999
17.240000,236533724.431152,3466275.568848
17.280000,236492592.019267,3507407.980734
17.320000,236450980.076403,3549019.923597
17.360000,236408883.216453,3591116.783547
17.400000,236366295.997690,3633704.002310
17.440000,236323212.922308,3676787.077692
17.480000,236279628.435966,3720371.564035
17.520000,236235536.927329,3764463.072671
17.560000,236190932.727612,3809067.272389
17.600000,236145810.110115,3854189.889885
17.640000,236100163.289770,3899836.710230
17.680000,236053986.422675,3946013.577325
17.720000,236007273.605637,3992726.394363
17.760000,235960018.875712,4039981.124288
17.800000,235912216.209742,4087783.790258
17.840000,235863859.523896,4136140.476104
17.880000,235814942.673212,4185057.326788
17.920000,235765459.451135,4234540.548865
17.960000,235715403.589059,4284596.410942
18.000000,235664768.755866,4335231.244134
18.040000,235613548.557473,4386451.442527
18.080000,235561736.536372,4438263.463628
18.120000,235509326.171174,4490673.828826
18.160000,235456310.876155,4543689.123845
18.200000,235402684.000804,4597315.999197
18.240000,235348438.829368,4651561.170632
18.280000,235293568.580405,4706431.419595
18.320000,235238066.406335,4761933.593665
18.360000,235181925.392991,4818074.607009
18.400000,235125138.559177,4874861.440823
18.440000,235067698.856225,4932301.143775
18.480000,235009599.167555,4990400.832445
18.520000,234950832.308241,5049167.691759
18.560000,234891391.024571,5108608.975429
18.600000,234831267.993623,5168732.006377
18.640000,234770455.822830,5229544.177170
18.680000,234708947.049561,5291052.950440
18.720000,234646734.140697,5353265.859304
18.760000,234583809.492215,5416190.507785
18.800000,234520165.428777,5479834.571223
18.840000,234455794.203317,5544205.796684
18.880000,234390687.996639,5609312.003361
18.920000,234324838.917020,5675161.082980
18.960000,234258238.999812,5741761.000188
19.000000,234190880.207053,5809119.792947
19.040000,234122754.427084,5877245.572916
19.080000,234053853.474173,5946146.525827
19.120000,233984169.088139,6015830.911861
19.160000,233913692.933988,6086307.066012
19.200000,233842416.601555,6157583.398446
19.240000,233770331.605147,6229668.394854
19.280000,233697429.383202,6302570.616798
19.320000,233623701.297951,6376298.702049
19.360000,233549138.635082,6450861.364919
19.400000,233473732.603423,6526267.396578
19.440000,233397474.334625,6602525.665375
19.480000,233320354.882858,6679645.117143
19.520000,233242365.224511,6757634.775489
19.560000,233163496.257909,6836503.742091
19.600000,233083738.803031,6916261.196970
19.640000,233003083.601242,6996916.398758
19.680000,232921521.315040,7078478.684961
19.720000,232839042.527800,7160957.472200
19.760000,232755637.743547,7244362.256453
19.800000,232671297.386724,7328702.613276
19.840000,232586011.801983,7413988.198017
19.880000,232499771.253980,7500228.746020
19.920000,232412565.927191,7587434.072809
19.960000,232324385.925731,7675614.074269
20.000000,232235221.273195,7764778.726805
20.040000,232145061.912508,7854938.087492
20.080000,232053897.705789,7946102.294211
20.120000,231961718.434234,8038281.565767
20.160000,231868513.798005,8131486.201995
20.200000,231774273.416148,8225726.583852
20.240000,231678986.826511,8321013.173489
20.280000,231582643.485691,8417356.514310
20.320000,231485232.768991,8514767.231010
20.360000,231386743.970398,8613256.029602
20.400000,231287166.302576,8712833.697424
20.440000,231186488.896877,8813511.103123
20.480000,231084700.803373,8915299.196627
20.520000,230981790.990907,9018209.009093
20.560000,230877748.347161,9122251.652840
20.600000,230772561.678745,9227438.321255
20.640000,230666219.711313,9333780.288688
20.680000,230558711.089686,9441288.910314
20.720000,230450024.378016,9549975.621985
20.760000,230340148.059952,9659851.940048
20.800000,230229070.538849,9770929.461152
20.840000,230116780.137980,9883219.862020
20.880000,230003265.100791,9996734.899209
20.920000,229888513.591169,10111486.408831
20.960000,229772513.693735,10227486.306266
21.000000,229655253.414170,10344746.585830
21.040000,229536720.679565,10463279.320436
21.080000,229416903.338787,10583096.661213
21.120000,229295789.162895,10704210.837105
21.160000,229173365.845559,10826634.154441
21.200000,229049621.003527,10950378.996473
21.240000,228924542.177111,11075457.822889
21.280000,228798116.830709,11201883.169291
21.320000,228670332.353350,11329667.646650
21.360000,228541176.059282,11458823.940718
21.400000,228410635.188579,11589364.811422
21.440000,228278696.907789,11721303.092211
21.480000,228145348.310617,11854651.689383
21.520000,228010576.418632,11989423.581368
21.560000,227874368.182018,12125631.817982
21.600000,227736710.480358,12263289.519643
21.640000,227597590.123450,12402409.876550
21.680000,227456993.852167,12543006.147834
21.720000,227314908.339346,12685091.660655
21.760000,227171320.190721,12828679.809279
21.800000,227026215.945896,12973784.054104
21.840000,226879582.079348,13120417.920653
21.880000,226731405.001482,13268594.998519
21.920000,226581671.059719,13418328.940281
21.960000,226430366.539630,13569633.460370
22.000000,226277477.666108,13722522.333892
22.040000,226122990.604587,13877009.395413
22.080000,225966891.462302,14033108.537698
22.120000,225809166.289596,14190833.710405
22.160000,225649801.081268,14350198.918733
22.200000,225488781.777971,14511218.222029
22.240000,225326094.267658,14673905.732342
22.280000,225161724.387065,14838275.612936
22.320000,224995657.923255,15004342.076746
22.360000,224827880.615202,15172119.384798
22.400000,224658378.155431,15341621.844569
22.440000,224487136.191698,15512863.808302
22.480000,224314140.328733,15685859.671267
22.520000,224139376.130023,15860623.869977
22.560000,223962829.119658,16037170.880342
22.600000,223784484.784220,16215515.215780
22.640000,223604328.574732,16395671.425268
22.680000,223422345.908660,16577654.091340
22.720000,223238522.171964,16761477.828036
22.760000,223052842.721216,16947157.278784
22.800000,222865292.885761,17134707.114240
22.840000,222675857.969945,17324142.030056
22.880000,222484523.255395,17515476.744605
22.920000,222291274.003359,17708725.996641
22.960000,222096095.457103,17903904.542897
23.000000,221898972.844368,18101027.155633
23.040000,221699891.379886,18300108.620114
23.080000,221498836.267961,18501163.732039
23.120000,221295792.705100,18704207.294900
23.160000,221090745.882718,18909254.117282
23.200000,220883680.989896,19116319.010105
23.240000,220674583.216202,19325416.783798
23.280000,220463437.754584,19536562.245417
23.320000,220250229.804309,19749770.195691
23.360000,220034944.573987,19965055.426014
23.400000,219817567.284637,20182432.715364
23.440000,219598083.172835,20401916.827165
23.480000,219376477.493920,20623522.506081
23.520000,219152735.525259,20847264.474741
23.560000,218926842.569593,21073157.430408
23.600000,218698783.958428,21301216.041573
23.640000,218468545.055513,21531454.944487
23.680000,218236111.260369,21763888.739631
23.720000,218001468.011891,21998531.988109
23.760000,217764600.792014,22235399.207986
23.800000,217525495.129449,22474504.870552
23.840000,217284136.603480,22715863.396521
23.880000,217040510.847835,22959489.152166
23.920000,216794603.554617,23205396.445383
23.960000,216546400.478308,23453599.521692
24.000000,216295887.439831,23704112.560169
24.040000,216043050.330690,23956949.669310
24.080000,215787875.117166,24212124.882834
24.120000,215530347.844587,24469652.155414
24.160000,215270454.641657,24729545.358344
24.200000,215008181.724858,24991818.275142
24.240000,214743515.402914,25256484.597087
24.280000,214476442.081316,25523557.918685
24.320000,214206948.266919,25793051.733082
24.360000,213935020.572601,26064979.427400
24.400000,213660645.721980,26339354.278021
24.440000,213383810.554203,26616189.445797
24.480000,213104502.028792,26895497.971209
24.520000,212822707.230549,27177292.769451
24.560000,212538413.374534,27461586.625467
24.600000,212251607.811086,27748392.188915
24.640000,211962278.030919,28037721.969082
24.680000,211670411.670268,28329588.329732
24.720000,211375996.516095,28624003.483906
24.760000,211079020.511349,28920979.488651
24.800000,210779471.760288,29220528.239712
24.840000,210477338.533847,29522661.466153
24.880000,210172609.275063,29827390.724937
24.920000,209865272.604553,30134727.395447
24.960000,209555317.326041,30444682.673959
25.000000,209242732.431933,30757267.568067
25.040000,208927507.108939,31072492.891062
25.080000,208609630.743744,31390369.256257
25.120000,208289092.928721,31710907.071279
25.160000,207965883.467689,32034116.532312
25.200000,207639992.381703,32360007.618298
25.240000,207311409.914897,32688590.085103
25.280000,206980126.540354,33019873.459646
25.320000,206646132.966012,33353867.033988
25.360000,206309420.140608,33690579.859393
25.400000,205969979.259644,34030020.740357
25.440000,205627801.771392,34372198.228608
25.480000,205282879.382921,34717120.617079
25.520000,204935204.066141,35064795.933860
25.560000,204584768.063879,35415231.936122
25.600000,204231563.895971,35768436.104030
25.640000,203875584.365364,36124415.634636
25.680000,203516822.564243,36483177.435758
25.720000,203155271.880155,36844728.119846
25.760000,202790926.002156,37209073.997844
25.800000,202423778.926952,37576221.073048
25.840000,202053824.965047,37946175.034954
25.880000,201681058.746889,38318941.253112
25.920000,201305475.229014,38694524.770987
25.960000,200927069.700180,39072930.299821
26.000000,200545837.787494,39454162.212507
26.040000,200161775.462521,39838224.537480
26.080000,199774879.047381,40225120.952619
26.120000,199385145.220822,40614854.779178
26.160000,198992571.024269,41007428.975731
26.200000,198597153.867848,41402846.132153
26.240000,198198891.536374,41801108.463626
26.280000,197797782.195312,42202217.804688
26.320000,197393824.396688,42606175.603312
26.360000,196987017.084969,43012982.915032
26.400000,196577359.602885,43422640.397116
26.440000,196164851.697211,43835148.302789
26.480000,195749493.524489,44250506.475512
26.520000,195331285.656689,44668714.343312
26.560000,194910229.086813,45089770.913187
26.600000,194486325.234431,45513674.765570
26.640000,194059575.951138,45940424.048862
26.680000,193629983.525950,46370016.474051
26.720000,193197550.690605,46802449.309395
26.760000,192762280.624795,47237719.375205
26.800000,192324176.961295,47675823.038705
26.840000,191883243.791011,48116756.208990
26.880000,191439485.667923,48560514.332077
26.920000,190992907.613936,49007092.386065
26.960000,190543515.123611,49456484.876390
27.000000,190091314.168801,49908685.831200
27.040000,189636311.203160,50363688.796841
27.080000,189178513.166540,50821486.833461
27.120000,188717927.489261,51282072.510740
27.160000,188254562.096254,51745437.903747
27.200000,187788425.411070,52211574.588930
27.240000,187319526.359755,52680473.640245
27.280000,186847874.374578,53152125.625423
27.320000,186373479.397617,53626520.602384
27.360000,185896351.884196,54103648.115805
27.400000,185416502.806162,54583497.193839
27.440000,184933943.655008,55066056.344992
27.480000,184448686.444830,55551313.555171
27.520000,183960743.715113,56039256.284887
27.560000,183470128.533357,56529871.466643
27.600000,182976854.497510,57023145.502491
27.640000,182480935.738235,57519064.261766
27.680000,181982386.920987,58017613.079013
27.720000,181481223.247902,58518776.752099
27.760000,180977460.459493,59022539.540507
27.800000,180471114.836155,59528885.163845
27.840000,179962203.199465,60037796.800536
27.880000,179450742.913280,60549257.086720
27.920000,178936751.884634,61063248.115366
27.960000,178420248.564415,61579751.435585
28.000000,177901251.947837,62098748.052164
