Time,Susceptible,Infected,Recovered
47.350000,10535.132747,21577.345323,57887.521930
47.400000,10497.365880,21518.147342,57984.486778
47.450000,10459.837577,21458.977126,58081.185298
47.500000,10422.546196,21399.836188,58177.617616
47.550000,10385.490108,21340.726023,58273.783870
47.600000,10348.667692,21281.648110,58369.684199
47.650000,10312.077338,21222.603909,58465.318753
47.700000,10275.717449,21163.594864,58560.687687
47.750000,10239.586437,21104.622401,58655.791162
47.800000,10203.682724,21045.687931,58750.629345
47.850000,10168.004742,20986.792845,58845.202412
47.900000,10132.550937,20927.938521,58939.510542
47.950000,10097.319761,20869.126317,59033.553922
48.000000,10062.309680,20810.357576,59127.332744
48.050000,10027.519167,20751.633626,59220.847207
48.100000,9992.946708,20692.955776,59314.097516
48.150000,9958.590799,20634.325321,59407.083881
48.200000,9924.449944,20575.743539,59499.806517
48.250000,9890.522660,20517.211692,59592.265647
48.300000,9856.807472,20458.731029,59684.461499
48.350000,9823.302916,20400.302779,59776.394305
48.400000,9790.007538,20341.928158,59868.064304
48.450000,9756.919893,20283.608366,59959.471741
48.500000,9724.038547,20225.344589,60050.616864
48.550000,9691.362076,20167.137996,60141.499928
48.600000,9658.889065,20108.989741,60232.121193
48.650000,9626.618109,20050.900966,60322.480925
48.700000,9594.547813,19992.872794,60412.579393
48.750000,9562.676791,19934.906336,60502.416873
48.800000,9531.003667,19877.002689,60591.993644
48.850000,9499.527075,19819.162932,60681.309993
48.900000,9468.245658,19761.388134,60770.366208
48.950000,9437.158069,19703.679347,60859.162585
49.000000,9406.262968,19646.037609,60947.699423
49.050000,9375.559029,19588.463946,61035.977025
49.100000,9345.044930,19530.959368,61123.995702
49.150000,9314.719363,19473.524873,61211.755765
49.200000,9284.581025,19416.161443,61299.257532
49.250000,9254.628625,19358.870049,61386.501326
49.300000,9224.860881,19301.651647,61473.487472
49.350000,9195.276519,19244.507180,61560.216302
49.400000,9165.874273,19187.437578,61646.688149
49.450000,9136.652888,19130.443759,61732.903353
49.500000,9107.611117,19073.526625,61818.862258
49.550000,9078.747722,19016.687068,61904.565209
49.600000,9050.061474,18959.925967,61990.012559
49.650000,9021.551152,18903.244186,62075.204662
49.700000,8993.215543,18846.642579,62160.141877
49.750000,8965.053446,18790.121987,62244.824567
49.800000,8937.063664,18733.683238,62329.253098
49.850000,8909.245012,18677.327148,62413.427840
49.900000,8881.596312,18621.054521,62497.349167
49.950000,8854.116394,18564.866149,62581.017457
50.000000,8826.804097,18508.762812,62664.433090
50.050000,8799.658270,18452.745279,62747.596451
50.100000,8772.677766,18396.814306,62830.507928
50.150000,8745.861451,18340.970638,62913.167911
50.200000,8719.208196,18285.215009,62995.576795
50.250000,8692.716880,18229.548141,63077.734979
50.300000,8666.386393,18173.970744,63159.642863
50.350000,8640.215629,18118.483520,63241.300851
50.400000,8614.203494,18063.087155,63322.709351
50.450000,8588.348898,18007.782329,63403.868773
50.500000,8562.650763,17952.569707,63484.779530
50.550000,8537.108014,17897.449947,63565.442039
50.600000,8511.719588,17842.423692,63645.856720
50.650000,8486.484427,17787.491579,63726.023994
50.700000,8461.401483,17732.654231,63805.944286
50.750000,8436.469712,17677.912263,63885.618025
50.800000,8411.688082,17623.266278,63965.045641
50.850000,8387.055565,17568.716869,64044.227566
50.900000,8362.571142,17514.264620,64123.164238
50.950000,8338.233801,17459.910105,64201.856094
51.000000,8314.042537,17405.653886,64280.303576
51.050000,8289.996354,17351.496518,64358.507128
51.100000,8266.094261,17297.438545,64436.467194
51.150000,8242.335275,17243.480500,64514.184225
51.200000,8218.718421,17189.622910,64591.658669
51.250000,8195.242730,17135.866288,64668.890982
51.300000,8171.907240,17082.211141,64745.881618
51.350000,8148.710998,17028.657967,64822.631035
51.400000,8125.653055,16975.207251,64899.139694
51.450000,8102.732471,16921.859474,64975.408055
51.500000,8079.948311,16868.615105,65051.436584
51.550000,8057.299650,16815.474603,65127.225747
51.600000,8034.785567,16762.438422,65202.776012
51.650000,8012.405147,16709.507003,65278.087850
51.700000,7990.157485,16656.680782,65353.161733
51.750000,7968.041681,16603.960184,65427.998135
51.800000,7946.056840,16551.345627,65502.597533
51.850000,7924.202075,16498.837519,65576.960406
51.900000,7902.476506,16446.436262,65651.087231
